,euler_T,euler_U, euler_E,leapfrog_T,leapfrog_U, leapfrog_E,rk4_T,rk4_U, rk4_E
0.000000,0.000000e+00,1.080628e+00,1.080628e+00,0.000000e+00,1.080628e+00,1.080628e+00,0.000000e+00,1.080628e+00,1.080628e+00
0.010000,1.082656e-04,1.080628e+00,1.080736e+00,1.082656e-04,1.080628e+00,1.080736e+00,1.156036e-04,1.080628e+00,1.080743e+00
0.020000,4.330625e-04,1.080412e+00,1.080845e+00,4.330625e-04,1.080196e+00,1.080629e+00,4.624145e-04,1.080404e+00,1.080866e+00
0.030000,9.743256e-04,1.079981e+00,1.080955e+00,9.741307e-04,1.079765e+00,1.080739e+00,1.040363e-03,1.079956e+00,1.080996e+00
0.040000,1.731903e-03,1.079334e+00,1.081066e+00,1.731557e-03,1.078903e+00,1.080634e+00,1.849286e-03,1.079284e+00,1.081133e+00
0.050000,2.705558e-03,1.078472e+00,1.081177e+00,2.704476e-03,1.078041e+00,1.080745e+00,2.888929e-03,1.078389e+00,1.081278e+00
0.060000,3.894964e-03,1.077395e+00,1.081290e+00,3.893406e-03,1.076749e+00,1.080643e+00,4.158942e-03,1.077270e+00,1.081429e+00
0.070000,5.299712e-03,1.076103e+00,1.081403e+00,5.296532e-03,1.075458e+00,1.080755e+00,5.658886e-03,1.075929e+00,1.081588e+00
0.080000,6.919303e-03,1.074597e+00,1.081517e+00,6.915151e-03,1.073739e+00,1.080654e+00,7.388226e-03,1.074365e+00,1.081754e+00
0.090000,8.753155e-03,1.072878e+00,1.081631e+00,8.746153e-03,1.072021e+00,1.080767e+00,9.346337e-03,1.072580e+00,1.081927e+00
0.100000,1.080060e-02,1.070946e+00,1.081747e+00,1.079196e-02,1.069877e+00,1.080669e+00,1.153250e-02,1.070574e+00,1.082107e+00
0.110000,1.306088e-02,1.068803e+00,1.081863e+00,1.304782e-02,1.067735e+00,1.080783e+00,1.394591e-02,1.068348e+00,1.082294e+00
0.120000,1.553316e-02,1.066447e+00,1.081981e+00,1.551763e-02,1.065169e+00,1.080687e+00,1.658565e-02,1.065903e+00,1.082489e+00
0.130000,1.821651e-02,1.063882e+00,1.082098e+00,1.819465e-02,1.062607e+00,1.080801e+00,1.945075e-02,1.063240e+00,1.082690e+00
0.140000,2.110992e-02,1.061107e+00,1.082217e+00,2.108459e-02,1.059623e+00,1.080708e+00,2.254011e-02,1.060359e+00,1.082899e+00
